YSK4,ZKB3,CDC4,OVU3,GIB11,SAC4,URA11,OYC11,QJB3,UKK11,VYE4,EVH4,YTH11,URF3,ILC4,ZDN4,BIG11,MCA4,RRZ4,KEQ11,RZC4,HLD11,FUP4,JLI4,DJI3,BCM4,EZN11,HAC3,KQQ3,PFZ4,FCW3,XDA3,TFJ4,NFW3,JYH3,FMT3,LPL3,BSH4,ZUG11,CWF3,VJH4,GVV3,FJE11,QQC11,XMU4,CGD4,UDS3,LPI4,KWQ3,FAF4
1267.78,372.33,785.39,352.29,266.11,240.3,890.25,1479.46,1163.61,3432.31,864.59,20457.89,389.34,184.41,835.68,325.79,665.37,717.92,654.07,368.42,2956.83,211.9,430.5,569.82,716.0,580.66,377.06,25050.76,630.23,1128.26,421.88,627.65,153.66,216.52,5170.83,28691.96,679.28,367.22,1070.14,4666.71,413.68,282.13,14728.35,1636.96,405.1,512.58,288.01,1126.31,326.37,688.86
1282.72,381.91,789.54,350.73,262.65,243.03,885.19,1478.81,1166.02,3418.7,848.67,20395.2,393.22,190.74,853.29,329.32,661.44,717.47,644.39,371.06,3024.11,215.13,432.2,558.64,721.34,571.21,372.22,24940.31,620.17,1140.74,423.03,620.48,153.64,219.01,5227.29,28566.03,681.29,369.33,1074.17,4608.1,416.87,280.52,14759.88,1617.01,401.28,501.02,291.1,1108.34,326.56,695.9
1291.67,387.09,805.56,348.92,260.85,243.34,861.0,1469.22,1163.6,3442.86,848.34,20412.05,402.5,189.04,837.27,330.19,660.16,716.21,640.41,367.98,3082.51,219.4,424.27,566.54,716.54,573.71,372.73,24603.22,612.86,1132.67,420.78,622.41,152.65,220.53,5276.55,28354.88,683.73,375.16,1079.91,4624.39,417.36,277.47,14796.14,1630.99,397.35,505.61,291.38,1112.67,326.0,708.49
1288.85,386.69,804.18,346.79,260.91,243.42,848.89,1464.17,1169.41,3411.8,853.45,20109.35,407.6,187.29,843.39,328.22,667.97,733.54,635.12,368.38,3067.87,215.12,422.84,554.85,730.57,576.11,374.46,24882.15,610.16,1142.75,414.02,613.92,153.5,222.98,5174.19,27955.72,691.26,375.82,1077.74,4608.76,410.88,268.62,14794.74,1617.9,401.53,497.52,292.38,1099.67,326.68,699.65
1316.42,382.17,805.91,341.28,265.54,242.12,852.11,1461.89,1147.36,3389.52,851.64,20147.72,404.49,185.66,850.8,330.93,670.27,733.93,640.15,365.11,3070.75,215.93,420.09,550.82,724.06,571.34,377.48,25141.21,594.99,1143.94,416.92,613.93,154.61,224.96,5287.27,28341.27,688.18,383.36,1081.51,4669.68,415.3,265.52,14753.01,1601.19,396.39,496.29,286.08,1089.29,329.59,695.33
1327.49,387.52,811.09,341.0,265.45,241.78,844.36,1464.61,1137.05,3376.54,845.31,19945.93,403.88,186.19,847.62,331.44,658.53,741.05,641.32,361.11,3017.06,216.97,416.63,552.04,719.94,571.41,387.69,25128.46,595.52,1130.78,416.14,619.68,152.48,220.37,5372.52,28232.27,689.51,388.86,1086.11,4696.02,408.76,260.94,14869.61,1595.04,396.27,494.36,288.09,1090.99,326.54,697.64
1320.2,384.15,800.59,342.83,269.17,242.8,844.11,1461.28,1151.6,3377.15,835.94,20105.05,399.79,185.72,843.85,332.22,651.44,730.55,640.46,360.79,3073.44,213.29,419.94,550.22,725.78,582.27,388.62,25552.62,596.04,1120.04,412.17,625.71,151.41,219.76,5342.47,28266.79,688.39,391.33,1102.79,4659.73,406.39,259.2,14661.85,1587.71,395.75,495.73,292.3,1070.78,327.39,694.61
1335.1,383.48,794.37,349.15,268.58,243.69,845.97,1474.19,1163.33,3402.47,841.32,20138.09,400.82,187.83,837.71,329.74,652.42,719.58,632.66,364.54,3038.95,215.32,425.23,558.79,723.19,577.4,388.94,25800.54,601.56,1110.64,403.83,617.16,149.91,221.28,5265.77,28034.93,690.14,390.73,1118.62,4703.82,405.53,259.02,14626.46,1592.57,395.73,501.28,294.61,1083.97,329.65,701.15
1312.04,379.99,797.95,346.85,269.55,243.16,836.37,1462.61,1181.25,3392.08,834.28,20156.73,397.01,190.66,846.59,333.16,647.31,701.41,612.75,368.34,3060.14,213.48,424.42,559.28,736.04,589.84,387.55,26012.42,603.52,1120.34,402.23,608.82,146.38,222.94,5270.23,28206.19,686.24,386.5,1109.17,4704.64,402.85,257.91,14582.41,1603.55,395.64,503.9,299.66,1065.54,332.04,694.31
1303.97,377.81,800.55,352.89,268.64,243.76,840.38,1478.27,1206.8,3388.24,839.76,19993.18,398.43,188.15,853.51,333.88,642.5,690.88,602.83,365.81,3106.57,211.22,425.35,557.86,744.82,583.64,389.63,26147.75,600.1,1130.68,404.21,597.03,145.45,225.88,5249.16,28601.54,688.36,385.6,1099.32,4710.96,401.66,256.36,14466.16,1579.34,393.03,500.67,297.28,1073.74,336.49,692.02
1306.35,379.82,801.96,354.7,269.0,238.85,840.2,1481.39,1206.85,3348.61,839.32,20165.03,397.07,188.47,862.97,333.63,638.71,689.94,605.63,364.28,3136.22,211.71,418.89,557.76,752.29,587.91,382.87,25986.79,601.93,1127.03,399.97,598.2,146.35,225.46,5215.95,29136.9,693.73,389.88,1107.79,4659.97,403.02,255.4,14506.93,1574.08,394.89,501.46,302.05,1069.14,336.39,687.57
1315.02,385.24,796.43,354.08,271.05,241.39,824.46,1493.16,1204.8,3316.08,854.27,19736.36,393.78,187.88,860.1,336.57,634.95,690.76,604.64,364.56,3106.19,213.69,421.5,556.49,766.59,588.15,378.97,25368.35,596.12,1140.27,398.73,586.32,146.75,226.62,5242.53,29520.53,683.86,385.92,1101.3,4667.78,404.57,254.39,14581.0,1592.12,392.6,495.16,306.15,1055.66,336.9,681.38
1310.4,381.37,793.17,357.83,269.6,238.84,829.23,1490.98,1195.15,3335.02,862.75,19803.68,397.57,190.71,869.92,342.25,625.78,699.68,595.92,367.63,3093.84,214.13,412.87,566.05,756.79,587.76,381.21,25301.97,601.39,1136.45,403.47,580.08,148.9,226.41,5297.35,29648.51,695.89,383.77,1090.0,4650.11,405.17,258.54,14276.53,1578.33,389.04,498.45,311.05,1053.68,342.07,685.2
1349.74,379.57,786.25,359.48,265.96,242.18,842.83,1488.48,1173.64,3365.58,861.03,19632.49,394.05,187.03,873.25,343.35,636.61,705.66,594.34,366.25,3067.27,215.95,411.21,560.13,762.5,593.17,384.67,25188.78,599.65,1117.32,405.42,591.94,148.46,224.7,5405.09,29502.53,696.2,386.37,1104.79,4661.29,403.97,261.68,14461.71,1565.54,388.45,493.08,309.91,1085.21,344.51,679.94
1333.23,375.47,784.09,363.52,261.51,243.45,844.04,1483.74,1189.51,3347.32,876.72,19800.11,398.63,183.59,888.19,343.36,638.72,712.86,592.63,370.0,3059.33,217.0,409.62,571.58,752.93,586.51,378.31,25322.55,596.78,1119.67,409.87,596.37,151.64,221.51,5479.94,29841.72,700.51,391.79,1120.2,4620.79,392.65,260.11,14331.01,1568.89,385.44,502.87,310.42,1094.14,348.44,681.35
1349.32,383.52,785.67,361.69,258.4,241.6,850.9,1482.27,1206.65,3334.3,882.03,20123.02,399.01,185.57,900.07,344.19,631.15,717.36,588.27,371.74,3000.59,217.54,409.95,572.97,751.82,583.86,381.74,25136.27,600.19,1134.1,407.47,592.22,150.24,223.0,5569.56,29714.93,698.31,396.12,1102.22,4624.18,392.26,261.36,14446.38,1584.76,390.22,502.69,309.64,1088.02,348.2,681.52
1357.36,387.95,781.83,362.64,258.62,242.67,842.39,1477.19,1200.58,3344.09,872.63,20025.54,394.57,185.04,892.18,343.88,632.54,720.25,580.94,369.58,2969.46,217.04,406.28,566.13,767.79,588.32,387.2,25287.44,605.97,1125.9,409.45,609.58,148.43,221.64,5614.1,29433.09,693.69,396.22,1095.11,4620.31,396.9,260.26,14201.19,1601.0,389.25,505.34,307.41,1086.72,347.66,687.04
1332.38,391.16,793.38,361.26,255.73,242.67,847.45,1483.01,1207.1,3303.27,869.39,20124.47,391.6,184.06,887.33,347.88,636.96,723.43,584.74,369.63,2950.08,212.84,417.59,563.84,773.74,590.97,390.25,25758.21,606.55,1117.47,408.98,611.3,149.06,223.0,5618.76,29769.41,690.06,398.57,1110.62,4607.16,389.7,259.3,14179.99,1607.81,386.04,503.74,308.7,1082.3,345.47,682.28
1322.02,388.59,792.22,356.91,259.56,245.51,841.62,1514.5,1214.66,3293.43,881.13,20131.48,395.11,180.29,888.91,347.0,629.63,715.63,582.23,376.92,2975.98,208.28,423.63,567.25,777.65,599.13,387.09,26120.47,608.84,1104.1,403.02,601.36,148.99,221.77,5639.47,30105.09,699.83,399.46,1101.96,4550.54,392.16,263.96,14375.19,1593.13,388.47,503.52,310.08,1067.88,349.31,679.96
